gene_symbol,ensembl_gene
Slc17a7,ENSMUSG00000070570
Mgp,ENSMUSG00000030218
Gad1,ENSMUSG00000070880
Nov,ENSMUSG00000037362
Rasgrf2,ENSMUSG00000021708
Rorb,ENSMUSG00000036192
Cux2,ENSMUSG00000042589
Plcxd2,ENSMUSG00000087141
Sulf2,ENSMUSG00000006800
Ctgf,ENSMUSG00000019997
Pcp4,ENSMUSG00000090223
Sema3e,ENSMUSG00000063531
Npy,ENSMUSG00000029819
Sst,ENSMUSG00000004366
Pvalb,ENSMUSG00000005716
Vip,ENSMUSG00000019772
Calb2,ENSMUSG00000003657
Cck,ENSMUSG00000032532
Reln,ENSMUSG00000042453
Fos,ENSMUSG00000021250
Egr1,ENSMUSG00000038418
Prok2,ENSMUSG00000030069
Egr2,ENSMUSG00000037868
Bdnf,ENSMUSG00000048482
Gja1,ENSMUSG00000050953
Ctss,ENSMUSG00000038642
Mbp,ENSMUSG00000041607
Flt1,ENSMUSG00000029648
